,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,location_id
70,,Burkina Faso,2021-04-01 04:27:05,12.2383,-1.5616,12717,146,12385.0,186.0,Burkina Faso,60.83734809439936,1.1480695132499803,20
71,,Burma,2021-04-01 04:27:05,21.9162,95.956,142434,3206,131800.0,7428.0,Burma,261.78007584443344,2.250867068256175,21
72,,Burundi,2021-04-01 04:27:05,-3.3731,29.9189,2810,6,773.0,2031.0,Burundi,23.631753036238745,0.2135231316725978,22
73,,Cabo Verde,2021-04-01 04:27:05,16.5388,-23.0418,17470,168,16277.0,1025.0,Cabo Verde,3142.15414721181,0.961648540354894,23
74,,Cambodia,2021-04-01 04:27:05,11.55,104.9167,2440,11,1191.0,1238.0,Cambodia,14.594199607140894,0.4508196721311475,24
75,,Cameroon,2021-04-01 04:27:05,3.848,11.5021,47669,721,35261.0,11687.0,Cameroon,179.57223015984712,1.5125133734712286,25
76,Alberta,Canada,2021-04-01 04:27:05,53.9333,-116.5765,148332,1990,137992.0,8350.0,"Alberta, Canada",3338.6459545713487,1.3415850928997115,26
77,British Columbia,Canada,2021-04-01 04:27:05,53.7267,-127.6476,100048,1458,91066.0,7524.0,"British Columbia, Canada",1918.53770179326,1.457300495762034,26
80,Manitoba,Canada,2021-04-01 04:27:05,53.7609,-98.8139,34122,935,32006.0,1181.0,"Manitoba, Canada",2465.881128659852,2.740167633784655,26
86,Ontario,Canada,2021-04-01 04:27:05,51.2538,-85.3232,356576,7366,329652.0,19558.0,"Ontario, Canada",2405.0273986535794,2.065758772323432,26
88,Quebec,Canada,2021-04-01 04:27:05,52.9399,-73.5491,311776,10667,291906.0,9203.0,"Quebec, Canada",3623.408462669802,3.4213666221902903,26
90,Saskatchewan,Canada,2021-04-01 04:27:05,52.9399,-106.4509,33590,436,31199.0,1955.0,"Saskatchewan, Canada",2846.9865507643385,1.2980053587377196,26
92,,Central African Republic,2021-04-01 04:27:05,6.6111,20.9394,5161,67,4957.0,137.0,Central African Republic,106.85822330035174,1.2981980236388295,27
93,,Chad,2021-04-01 04:27:05,15.4542,18.7322,4533,164,4140.0,229.0,Chad,27.596730253194064,3.617913081844253,28
94,Antofagasta,Chile,2021-04-01 04:27:05,-23.6509,-70.3975,43243,867,41196.0,1180.0,"Antofagasta, Chile",7117.790938449535,2.0049487778368755,29
95,Araucania,Chile,2021-04-01 04:27:05,-38.9489,-72.3311,54915,671,51266.0,2978.0,"Araucania, Chile",5736.90170743734,1.221888372939998,29
96,Arica y Parinacota,Chile,2021-04-01 04:27:05,-18.594,-69.4785,17399,350,16499.0,550.0,"Arica y Parinacota, Chile",7696.356848381903,2.011609862635784,29
97,Atacama,Chile,2021-04-01 04:27:05,-27.5661,-70.0503,14282,170,13602.0,510.0,"Atacama, Chile",4942.826291599757,1.1903094804649208,29
98,Aysen,Chile,2021-04-01 04:27:05,-45.9864,-73.7669,3531,28,3386.0,117.0,"Aysen, Chile",3422.9046705054384,0.7929764939110734,29
99,Biobio,Chile,2021-04-01 04:27:05,-37.4464,-72.1416,95470,1557,89123.0,4790.0,"Biobio, Chile",6132.431486281198,1.6308788100974128,29
100,Coquimbo,Chile,2021-04-01 04:27:05,-29.959,-71.3389,26875,508,25259.0,1108.0,"Coquimbo, Chile",3547.4520384484404,1.890232558139535,29
101,Los Lagos,Chile,2021-04-01 04:27:05,-41.9198,-72.1416,60819,794,58420.0,1605.0,"Los Lagos, Chile",7339.014465891484,1.3055130797941432,29
102,Los Rios,Chile,2021-04-01 04:27:05,-40.231,-72.3311,27478,304,25542.0,1632.0,"Los Rios, Chile",7140.16583644504,1.106339617148264,29
103,Magallanes,Chile,2021-04-01 04:27:05,-52.368,-70.9863,23107,345,22476.0,286.0,"Magallanes, Chile",13875.32801306648,1.4930540528844074,29
